	ril	chr	start	end	donor1	donor2
0	R5	10	228869	107992926	B73	B73
1	R5	10	107992926	118004546	Oh43	Oh43
2	R5	10	118004546	128974124	B73	B73
3	R5	10	128974124	136993382	Oh43	Oh43
4	R5	10	136993382	142020141	B73	B73
5	R5	10	142020141	147986297	Oh43	Oh43
6	R5	10	147986297	149000000	B73	B73
7	R4	10	228869	9937328	Oh43	Oh43
8	R4	10	9937328	102550938	B73	B73
9	R4	10	106021753	131930138	Oh43	Oh43
10	R4	10	131930138	133000203	B73	B73
11	R4	10	133000203	142993241	Oh43	Oh43
12	R4	10	142993241	147986297	B73	B73
13	R4	10	147986297	149000000	Oh43	Oh43
14	R6	10	228869	102550938	B73	B73
15	R6	10	106021753	107000138	Oh43	Oh43
16	R6	10	107000138	114001047	B73	B73
17	R6	10	114001047	120994414	Oh43	Oh43
18	R6	10	120994414	138068146	B73	B73
19	R6	10	138068146	139021054	Oh43	Oh43
20	R6	10	139021054	149000000	B73	B73
21	R8	10	228869	8461833	Oh43	Oh43
22	R8	10	8461833	16034579	B73	B73
23	R8	10	16034579	107570488	Oh43	Oh43
24	R8	10	107570573	107869303	CML52	Oh43
25	R8	10	107919802	108022968	B73	Oh43
26	R8	10	108023150	108063218	B73	CML247
27	R8	10	108063431	125000771	B73	B73
28	R8	10	125000771	127999482	Oh43	Oh43
29	R8	10	127999482	147002806	B73	B73
30	R8	10	147002806	149000000	Oh43	Oh43
31	R7	10	228869	9402151	B73	B73
32	R7	10	9402151	34951533	Oh43	Oh43
33	R7	10	34951533	87989499	B73	B73
34	R7	10	87989499	111989497	Oh43	Oh43
35	R7	10	111989497	122848748	B73	B73
36	R7	10	122848790	122922373	B73	CML277
37	R7	10	122922923	122947433	Il14H	Ms71
38	R7	10	123034710	123227648	CML277	Tzi8
39	R7	10	123255948	123362605	CML322	Oh43
40	R7	10	123362621	136007447	Oh43	Oh43
41	R7	10	136007447	149000000	B73	B73
42	R1	10	228869	28147198	Oh43	Oh43
43	R1	10	28147198	116998352	B73	B73
44	R1	10	116998352	127999482	Oh43	Oh43
45	R1	10	127999482	131930138	B73	B73
46	R1	10	131930138	146119656	Oh43	Oh43
47	R1	10	146119656	149000000	B73	B73
48	R10	10	228869	82789163	Oh43	Oh43
49	R10	10	82789163	116998352	B73	B73
50	R10	10	116998352	119006400	Oh43	Oh43
51	R10	10	119006400	131003763	B73	B73
52	R10	10	131003763	138068146	Oh43	Oh43
53	R10	10	138068146	147002806	B73	B73
54	R10	10	147002806	149000000	Oh43	Oh43
55	R2	10	228869	74998685	Oh43	Oh43
56	R2	10	74998685	108982653	B73	B73
57	R2	10	108982653	111050384	Oh43	Oh43
58	R2	10	111050384	120994414	B73	B73
59	R2	10	120994414	122016734	Oh43	Oh43
60	R2	10	122016734	144005380	B73	B73
61	R2	10	144005380	149000000	Oh43	Oh43
62	R9	10	228869	97018307	B73	B73
63	R9	10	97018307	102550938	Oh43	Oh43
64	R9	10	106021753	120994414	B73	B73
65	R9	10	120994414	135000832	Oh43	Oh43
66	R9	10	135000832	147002806	B73	B73
67	R9	10	147002806	147986297	Oh43	Oh43
68	R9	10	147986297	149000000	B73	B73
69	R3	10	228869	12001566	B73	B73
70	R3	10	12001566	107570488	Oh43	Oh43
71	R3	10	107570573	107869303	CML52	Oh43
72	R3	10	107919802	108022968	B73	Oh43
73	R3	10	108023150	108063218	B73	CML247
74	R3	10	108063431	128974124	B73	B73
75	R3	10	128974124	144005380	Oh43	Oh43
76	R3	10	144005380	147986297	B73	B73
77	R3	10	147986297	149000000	Oh43	Oh43
