chr	start	end	donor
1	50070000.0	51810000.0	Cent
1	0.0	10999999.0	CML103
1	11000000.0	12999999.0	CML322
1	13000000.0	20999999.0	MS71
1	21000000.0	108999999.0	Tx303
1	109000000.0	118999999.0	Ki11
1	119000000.0	126999999.0	Tx303
1	127000000.0	131999999.0	CML69
1	132000000.0	144999999.0	Ki3
1	145000000.0	146999999.0	Tx303
1	147000000.0	150000000.0	Ky21
2	50070000.0	51810000.0	Cent
2	0.0	85999999.0	Tx303
2	86000000.0	102999999.0	CML322
2	103000000.0	110999999.0	CML103
2	111000000.0	116999999.0	CML52
2	117000000.0	128999999.0	Ki3
2	129000000.0	150000000.0	CML103
3	50070000.0	51810000.0	Cent
3	0.0	999999.0	CML103
3	1000000.0	6999999.0	Tx303
3	7000000.0	24999999.0	Ki11
3	25000000.0	134999999.0	CML247
3	135000000.0	145999999.0	Tzi8
3	146000000.0	150000000.0	Ky21
4	50070000.0	51810000.0	Cent
4	0.0	15999999.0	CML333
4	16000000.0	116999999.0	CML322
4	117000000.0	132999999.0	CML103
4	133000000.0	145999999.0	CML52
4	146000000.0	150000000.0	CML69
5	50070000.0	51810000.0	Cent
5	0.0	1999999.0	Tzi8
5	2000000.0	122999999.0	Il14H
5	123000000.0	126999999.0	Ki3
5	127000000.0	135999999.0	CML52
5	136000000.0	136999999.0	Oh7B
5	137000000.0	143999999.0	MS71
5	144000000.0	150000000.0	Ki11
6	50070000.0	51810000.0	Cent
6	0.0	77999999.0	Ki3
6	78000000.0	119999999.0	Oh7B
6	120000000.0	146999999.0	CML333
6	147000000.0	147999999.0	CML322
6	148000000.0	150000000.0	Ky21
7	50070000.0	51810000.0	Cent
7	0.0	95999999.0	CML103
7	96000000.0	115999999.0	Ky21
7	116000000.0	122999999.0	CML103
7	123000000.0	128999999.0	Il14H
7	129000000.0	129999999.0	CML52
7	130000000.0	142999999.0	CML247
7	143000000.0	150000000.0	CML52
8	50070000.0	51810000.0	Cent
8	0.0	117999999.0	Tzi8
8	118000000.0	122999999.0	Il14H
8	123000000.0	131999999.0	CML52
8	132000000.0	133999999.0	CML69
8	134000000.0	137999999.0	Ky21
8	138000000.0	139999999.0	CML103
8	140000000.0	150000000.0	Tx303
9	50070000.0	51810000.0	Cent
9	0.0	5999999.0	Ky21
9	6000000.0	20999999.0	CML103
9	21000000.0	124999999.0	Oh7B
9	125000000.0	134999999.0	Tx303
9	135000000.0	135999999.0	Oh7B
9	136000000.0	140999999.0	CML322
9	141000000.0	150000000.0	Tzi8
10	50070000.0	51810000.0	Cent
10	0.0	95999999.0	CML69
10	96000000.0	121999999.0	CML277
10	122000000.0	126999999.0	Il14H
10	127000000.0	150000000.0	Ky21
